page,visits,date
".xxx_en.wikipedia.org_all-access_all-agents",7089,"2016-01-01 00:00:00"
".xxx_en.wikipedia.org_mobile-web_all-agents",6182,"2016-01-01 00:00:00"
"1._Juli_de.wikipedia.org_desktop_all-agents",20,"2016-01-01 00:00:00"
"2014_FIFA_World_Cup_en.wikipedia.org_all-access_all-agents",5363,"2016-01-01 00:00:00"
"2014_FIFA_World_Cup_en.wikipedia.org_desktop_all-agents",3186,"2016-01-01 00:00:00"
"2014_FIFA_World_Cup_en.wikipedia.org_mobile-web_all-agents",2136,"2016-01-01 00:00:00"
"2015_Copa_AmÃ©rica_en.wikipedia.org_all-access_all-agents",1160,"2016-01-01 00:00:00"
"2015_Copa_AmÃ©rica_en.wikipedia.org_desktop_all-agents",564,"2016-01-01 00:00:00"
"2015_Copa_AmÃ©rica_en.wikipedia.org_mobile-web_all-agents",580,"2016-01-01 00:00:00"
"2015_in_film_en.wikipedia.org_all-access_all-agents",54347,"2016-01-01 00:00:00"
"2015_in_film_en.wikipedia.org_desktop_all-agents",31236,"2016-01-01 00:00:00"
"2015_in_film_en.wikipedia.org_mobile-web_all-agents",22168,"2016-01-01 00:00:00"
"2015â€“16_UEFA_Champions_League_en.wikipedia.org_all-access_all-agents",3822,"2016-01-01 00:00:00"
"2015â€“16_UEFA_Champions_League_en.wikipedia.org_desktop_all-agents",2074,"2016-01-01 00:00:00"
"2015â€“16_UEFA_Europa_League_en.wikipedia.org_desktop_all-agents",888,"2016-01-01 00:00:00"
"2015å¹´å…«ä»™æ¨‚åœ’æ´¾å°?ç²‰å¡µçˆ†ç‚¸äº‹æ•…_zh.wikipedia.org_all-access_all-agents",627,"2016-01-01 00:00:00"
"2015å¹´å…«ä»™æ¨‚åœ’æ´¾å°?ç²‰å¡µçˆ†ç‚¸äº‹æ•…_zh.wikipedia.org_desktop_all-agents",375,"2016-01-01 00:00:00"
"2015å¹´å…«ä»™æ¨‚åœ’æ´¾å°?ç²‰å¡µçˆ†ç‚¸äº‹æ•…_zh.wikipedia.org_mobile-web_all-agents",247,"2016-01-01 00:00:00"
"2016_Summer_Olympics_en.wikipedia.org_all-access_all-agents",16083,"2016-01-01 00:00:00"
"2018_FIFA_World_Cup_en.wikipedia.org_all-access_all-agents",3478,"2016-01-01 00:00:00"
"50_Cent_en.wikipedia.org_all-access_all-agents",9616,"2016-01-01 00:00:00"
"AC/DC_en.wikipedia.org_all-access_all-agents",10629,"2016-01-01 00:00:00"
"AC/DC_en.wikipedia.org_desktop_all-agents",4662,"2016-01-01 00:00:00"
"A_Song_of_Ice_and_Fire_en.wikipedia.org_all-access_all-agents",8638,"2016-01-01 00:00:00"
"A_Song_of_Ice_and_Fire_en.wikipedia.org_desktop_all-agents",3570,"2016-01-01 00:00:00"
"Abraham_Lincoln_en.wikipedia.org_all-access_all-agents",19421,"2016-01-01 00:00:00"
"Abraham_Lincoln_en.wikipedia.org_mobile-web_all-agents",13933,"2016-01-01 00:00:00"
"Accueil_fr.wikipedia.org_all-access_all-agents",10004,"2016-01-01 00:00:00"
"Accueil_fr.wikipedia.org_desktop_all-agents",6795,"2016-01-01 00:00:00"
"Adam_Levine_en.wikipedia.org_all-access_all-agents",8729,"2016-01-01 00:00:00"
"Adam_Sandler_en.wikipedia.org_all-access_all-agents",14192,"2016-01-01 00:00:00"
"Adolf_Hitler_en.wikipedia.org_all-access_all-agents",28224,"2016-01-01 00:00:00"
"Adolf_Hitler_en.wikipedia.org_desktop_all-agents",12619,"2016-01-01 00:00:00"
"Adolf_Hitler_en.wikipedia.org_mobile-web_all-agents",15004,"2016-01-01 00:00:00"
"Agents_of_S.H.I.E.L.D._en.wikipedia.org_all-access_all-agents",9564,"2016-01-01 00:00:00"
"Akshay_Kumar_en.wikipedia.org_all-access_all-agents",18811,"2016-01-01 00:00:00"
"Al_Capone_en.wikipedia.org_all-access_all-agents",6955,"2016-01-01 00:00:00"
"Alan_Turing_en.wikipedia.org_all-access_all-agents",14160,"2016-01-01 00:00:00"
"Albert_Einstein_en.wikipedia.org_all-access_all-agents",14974,"2016-01-01 00:00:00"
"Albert_Einstein_en.wikipedia.org_desktop_all-agents",5661,"2016-01-01 00:00:00"
"Alexander_the_Great_en.wikipedia.org_all-access_all-agents",8632,"2016-01-01 00:00:00"
"Alexandra_Daddario_en.wikipedia.org_all-access_all-agents",10791,"2016-01-01 00:00:00"
"Amazon.com_en.wikipedia.org_all-access_all-agents",8218,"2016-01-01 00:00:00"
"Amber_Heard_en.wikipedia.org_all-access_all-agents",9623,"2016-01-01 00:00:00"
"Amber_Heard_en.wikipedia.org_mobile-web_all-agents",6270,"2016-01-01 00:00:00"
"Amber_Rose_en.wikipedia.org_all-access_all-agents",7633,"2016-01-01 00:00:00"
"America's_Got_Talent_en.wikipedia.org_all-access_all-agents",1832,"2016-01-01 00:00:00"
"American_Civil_War_en.wikipedia.org_all-access_all-agents",13166,"2016-01-01 00:00:00"
"American_Civil_War_en.wikipedia.org_desktop_all-agents",4027,"2016-01-01 00:00:00"
"American_Civil_War_en.wikipedia.org_mobile-web_all-agents",8821,"2016-01-01 00:00:00"
"American_Horror_Story_en.wikipedia.org_all-access_all-agents",13616,"2016-01-01 00:00:00"
"Amy_Poehler_en.wikipedia.org_all-access_all-agents",13154,"2016-01-01 00:00:00"
"Amy_Schumer_en.wikipedia.org_all-access_all-agents",20895,"2016-01-01 00:00:00"
"Amy_Schumer_en.wikipedia.org_mobile-web_all-agents",15512,"2016-01-01 00:00:00"
"Amy_Winehouse_en.wikipedia.org_all-access_all-agents",17106,"2016-01-01 00:00:00"
"Amy_Winehouse_en.wikipedia.org_desktop_all-agents",4904,"2016-01-01 00:00:00"
"Amy_Winehouse_en.wikipedia.org_mobile-web_all-agents",11828,"2016-01-01 00:00:00"
"Amyotrophe_Lateralsklerose_de.wikipedia.org_all-access_all-agents",2738,"2016-01-01 00:00:00"
"Amyotrophe_Lateralsklerose_de.wikipedia.org_mobile-web_all-agents",1912,"2016-01-01 00:00:00"
"Anal_sex_en.wikipedia.org_all-access_all-agents",10583,"2016-01-01 00:00:00"
"Anal_sex_en.wikipedia.org_mobile-web_all-agents",7334,"2016-01-01 00:00:00"
"Android_(operating_system)_en.wikipedia.org_all-access_all-agents",9548,"2016-01-01 00:00:00"
"Android_version_history_en.wikipedia.org_all-access_all-agents",9292,"2016-01-01 00:00:00"
"Andy_Murray_en.wikipedia.org_all-access_all-agents",1879,"2016-01-01 00:00:00"
"Andy_Murray_en.wikipedia.org_mobile-web_all-agents",1213,"2016-01-01 00:00:00"
"Angela_Merkel_en.wikipedia.org_all-access_all-agents",6182,"2016-01-01 00:00:00"
"Angelina_Jolie_en.wikipedia.org_all-access_all-agents",17271,"2016-01-01 00:00:00"
"Angelina_Jolie_en.wikipedia.org_mobile-web_all-agents",12496,"2016-01-01 00:00:00"
"Anna_Faris_en.wikipedia.org_all-access_all-agents",9320,"2016-01-01 00:00:00"
"Anna_Faris_en.wikipedia.org_mobile-web_all-agents",6325,"2016-01-01 00:00:00"
"Anna_Kendrick_en.wikipedia.org_all-access_all-agents",10268,"2016-01-01 00:00:00"
"Ant-Man_(film)_en.wikipedia.org_all-access_all-agents",19509,"2016-01-01 00:00:00"
"Ant-Man_(film)_en.wikipedia.org_desktop_all-agents",7214,"2016-01-01 00:00:00"
"Ant-Man_(film)_en.wikipedia.org_mobile-web_all-agents",11542,"2016-01-01 00:00:00"
"Anthony_Davis_(basketball)_en.wikipedia.org_all-access_all-agents",2026,"2016-01-01 00:00:00"
"Anthony_Davis_(basketball)_en.wikipedia.org_mobile-web_all-agents",1248,"2016-01-01 00:00:00"
"Antonin_Scalia_en.wikipedia.org_all-access_all-agents",852,"2016-01-01 00:00:00"
"Apollo_Creed_en.wikipedia.org_mobile-web_all-agents",7106,"2016-01-01 00:00:00"
"Apple_Inc._en.wikipedia.org_all-access_all-agents",9455,"2016-01-01 00:00:00"
"Area_51_en.wikipedia.org_all-access_all-agents",7237,"2016-01-01 00:00:00"
"Argentina_en.wikipedia.org_all-access_all-agents",6346,"2016-01-01 00:00:00"
"Argentina_es.wikipedia.org_all-access_all-agents",4173,"2016-01-01 00:00:00"
"Argentina_national_football_team_en.wikipedia.org_all-access_all-agents",2340,"2016-01-01 00:00:00"
"Argentina_national_football_team_en.wikipedia.org_desktop_all-agents",1108,"2016-01-01 00:00:00"
"Argentina_national_football_team_en.wikipedia.org_mobile-web_all-agents",1207,"2016-01-01 00:00:00"
"Ariana_Grande_en.wikipedia.org_all-access_all-agents",22100,"2016-01-01 00:00:00"
"Ariana_Grande_en.wikipedia.org_mobile-web_all-agents",14423,"2016-01-01 00:00:00"
"Arnold_Schwarzenegger_en.wikipedia.org_all-access_all-agents",23880,"2016-01-01 00:00:00"
"Arnold_Schwarzenegger_en.wikipedia.org_desktop_all-agents",5872,"2016-01-01 00:00:00"
"Arnold_Schwarzenegger_en.wikipedia.org_mobile-web_all-agents",17515,"2016-01-01 00:00:00"
"Arroba_(sÃ­mbolo)_es.wikipedia.org_all-access_all-agents",6226,"2016-01-01 00:00:00"
"Arroba_(sÃ­mbolo)_es.wikipedia.org_desktop_all-agents",5721,"2016-01-01 00:00:00"
"Arrow_(TV_series)_en.wikipedia.org_all-access_all-agents",17556,"2016-01-01 00:00:00"
"Arrow_(TV_series)_en.wikipedia.org_desktop_all-agents",8460,"2016-01-01 00:00:00"
"Arrow_(sÃ©rie_tÃ©lÃ©visÃ©e)_fr.wikipedia.org_all-access_all-agents",2564,"2016-01-01 00:00:00"
"Arrow_(sÃ©rie_tÃ©lÃ©visÃ©e)_fr.wikipedia.org_desktop_all-agents",1322,"2016-01-01 00:00:00"
"Arrow_(sÃ©rie_tÃ©lÃ©visÃ©e)_fr.wikipedia.org_mobile-web_all-agents",1200,"2016-01-01 00:00:00"
"Arsenal_F.C._en.wikipedia.org_all-access_all-agents",8109,"2016-01-01 00:00:00"
"Ashoka_en.wikipedia.org_all-access_all-agents",11063,"2016-01-01 00:00:00"
"Ashoka_en.wikipedia.org_mobile-web_all-agents",7767,"2016-01-01 00:00:00"
"Ashton_Kutcher_en.wikipedia.org_all-access_all-agents",12198,"2016-01-01 00:00:00"
"Asperger_syndrome_en.wikipedia.org_all-access_all-agents",11100,"2016-01-01 00:00:00"
"Asperger_syndrome_en.wikipedia.org_mobile-web_all-agents",7346,"2016-01-01 00:00:00"
"Assassin's_Creed_en.wikipedia.org_all-access_all-agents",14379,"2016-01-01 00:00:00"
"Attack_on_Titan_en.wikipedia.org_all-access_all-agents",10083,"2016-01-01 00:00:00"
"Audrey_Hepburn_en.wikipedia.org_all-access_all-agents",16966,"2016-01-01 00:00:00"
"Audrey_Hepburn_en.wikipedia.org_mobile-web_all-agents",12264,"2016-01-01 00:00:00"
"Australia_en.wikipedia.org_all-access_all-agents",16707,"2016-01-01 00:00:00"
"Australia_en.wikipedia.org_desktop_all-agents",7482,"2016-01-01 00:00:00"
"Avatar_(2009_film)_en.wikipedia.org_all-access_all-agents",17690,"2016-01-01 00:00:00"
"Avengers:_Age_of_Ultron_en.wikipedia.org_all-access_all-agents",21610,"2016-01-01 00:00:00"
"Avengers:_Age_of_Ultron_en.wikipedia.org_desktop_all-agents",7753,"2016-01-01 00:00:00"
"Avengers:_Age_of_Ultron_en.wikipedia.org_mobile-web_all-agents",13085,"2016-01-01 00:00:00"
"BDSM_en.wikipedia.org_all-access_all-agents",10986,"2016-01-01 00:00:00"
"BDSM_en.wikipedia.org_mobile-web_all-agents",7287,"2016-01-01 00:00:00"
"Bajrangi_Bhaijaan_en.wikipedia.org_mobile-web_all-agents",9181,"2016-01-01 00:00:00"
"Ballers_en.wikipedia.org_all-access_all-agents",2174,"2016-01-01 00:00:00"
"Baloncesto_es.wikipedia.org_all-access_all-agents",987,"2016-01-01 00:00:00"
"Bangladesh_en.wikipedia.org_all-access_all-agents",8952,"2016-01-01 00:00:00"
"Barack_Obama_en.wikipedia.org_all-access_all-agents",27849,"2016-01-01 00:00:00"
"Barack_Obama_en.wikipedia.org_desktop_all-agents",10594,"2016-01-01 00:00:00"
"Barack_Obama_en.wikipedia.org_mobile-web_all-agents",16653,"2016-01-01 00:00:00"
"Batman_en.wikipedia.org_all-access_all-agents",8994,"2016-01-01 00:00:00"
"Batman_v_Superman:_Dawn_of_Justice_en.wikipedia.org_all-access_all-agents",18535,"2016-01-01 00:00:00"
"Batman_v_Superman:_Dawn_of_Justice_en.wikipedia.org_desktop_all-agents",8202,"2016-01-01 00:00:00"
"Battle_of_the_Somme_en.wikipedia.org_all-access_all-agents",1917,"2016-01-01 00:00:00"
"Belgium_en.wikipedia.org_all-access_all-agents",7186,"2016-01-01 00:00:00"
"Bella_Thorne_en.wikipedia.org_all-access_all-agents",6073,"2016-01-01 00:00:00"
"Bella_Thorne_en.wikipedia.org_desktop_all-agents",2122,"2016-01-01 00:00:00"
"Bella_Thorne_en.wikipedia.org_mobile-web_all-agents",3846,"2016-01-01 00:00:00"
"Ben_Affleck_en.wikipedia.org_all-access_all-agents",13689,"2016-01-01 00:00:00"
"Ben_Affleck_en.wikipedia.org_desktop_all-agents",4189,"2016-01-01 00:00:00"
"Ben_Affleck_en.wikipedia.org_mobile-web_all-agents",9260,"2016-01-01 00:00:00"
"Ben_Carson_en.wikipedia.org_all-access_all-agents",10956,"2016-01-01 00:00:00"
"Benjamin_Franklin_en.wikipedia.org_all-access_all-agents",6564,"2016-01-01 00:00:00"
"Bermuda_Triangle_en.wikipedia.org_all-access_all-agents",7249,"2016-01-01 00:00:00"
"Bernie_Sanders_en.wikipedia.org_all-access_all-agents",15543,"2016-01-01 00:00:00"
"Bernie_Sanders_en.wikipedia.org_desktop_all-agents",5092,"2016-01-01 00:00:00"
"Bernie_Sanders_en.wikipedia.org_mobile-web_all-agents",10141,"2016-01-01 00:00:00"
"BeyoncÃ©_en.wikipedia.org_all-access_all-agents",10767,"2016-01-01 00:00:00"
"Bill_Clinton_en.wikipedia.org_all-access_all-agents",11159,"2016-01-01 00:00:00"
"Bill_Gates_en.wikipedia.org_all-access_all-agents",11783,"2016-01-01 00:00:00"
"Bill_Gates_en.wikipedia.org_desktop_all-agents",4210,"2016-01-01 00:00:00"
"Bill_Gates_en.wikipedia.org_mobile-web_all-agents",7397,"2016-01-01 00:00:00"
"Bipolar_disorder_en.wikipedia.org_all-access_all-agents",8989,"2016-01-01 00:00:00"
"Bitcoin_en.wikipedia.org_all-access_all-agents",6917,"2016-01-01 00:00:00"
"Blake_Lively_en.wikipedia.org_all-access_all-agents",14472,"2016-01-01 00:00:00"
"Bob_Marley_en.wikipedia.org_all-access_all-agents",12127,"2016-01-01 00:00:00"
"Bolivia_es.wikipedia.org_all-access_all-agents",3194,"2016-01-01 00:00:00"
"Bones_(TV_series)_en.wikipedia.org_all-access_all-agents",6345,"2016-01-01 00:00:00"
"Bonnie_and_Clyde_en.wikipedia.org_all-access_all-agents",9039,"2016-01-01 00:00:00"
"Borderline_personality_disorder_en.wikipedia.org_all-access_all-agents",7710,"2016-01-01 00:00:00"
"Brad_Pitt_en.wikipedia.org_all-access_all-agents",17567,"2016-01-01 00:00:00"
"Bradley_Cooper_en.wikipedia.org_all-access_all-agents",24133,"2016-01-01 00:00:00"
"Brazil_en.wikipedia.org_all-access_all-agents",9229,"2016-01-01 00:00:00"
"Brazil_national_football_team_en.wikipedia.org_all-access_all-agents",2753,"2016-01-01 00:00:00"
"Breaking_Bad_en.wikipedia.org_all-access_all-agents",15597,"2016-01-01 00:00:00"
"Brian_Wilson_en.wikipedia.org_all-access_all-agents",15039,"2016-01-01 00:00:00"
"Britney_Spears_en.wikipedia.org_all-access_all-agents",9678,"2016-01-01 00:00:00"
"Brittany_Murphy_en.wikipedia.org_all-access_all-agents",13186,"2016-01-01 00:00:00"
"Brock_Lesnar_en.wikipedia.org_all-access_all-agents",8929,"2016-01-01 00:00:00"
"Bruce_Lee_en.wikipedia.org_all-access_all-agents",16272,"2016-01-01 00:00:00"
"Bruno_Mars_en.wikipedia.org_all-access_all-agents",10264,"2016-01-01 00:00:00"
"Bryce_Dallas_Howard_en.wikipedia.org_all-access_all-agents",9636,"2016-01-01 00:00:00"
"Bryce_Dallas_Howard_en.wikipedia.org_mobile-web_all-agents",6667,"2016-01-01 00:00:00"
"Buddhism_en.wikipedia.org_all-access_all-agents",7693,"2016-01-01 00:00:00"
"Burj_Khalifa_en.wikipedia.org_all-access_all-agents",46833,"2016-01-01 00:00:00"
"Caitlyn_Jenner_en.wikipedia.org_all-access_all-agents",27512,"2016-01-01 00:00:00"
"Caitlyn_Jenner_en.wikipedia.org_desktop_all-agents",7075,"2016-01-01 00:00:00"
"Caitlyn_Jenner_en.wikipedia.org_mobile-web_all-agents",20006,"2016-01-01 00:00:00"
"California_en.wikipedia.org_all-access_all-agents",11338,"2016-01-01 00:00:00"
"Calvin_Harris_en.wikipedia.org_all-access_all-agents",9938,"2016-01-01 00:00:00"
"Calvin_Harris_en.wikipedia.org_mobile-web_all-agents",6335,"2016-01-01 00:00:00"
"Cameron_Diaz_en.wikipedia.org_all-access_all-agents",12761,"2016-01-01 00:00:00"
"Canada_Day_en.wikipedia.org_desktop_all-agents",169,"2016-01-01 00:00:00"
"Canada_en.wikipedia.org_all-access_all-agents",17598,"2016-01-01 00:00:00"
"Canada_en.wikipedia.org_desktop_all-agents",7979,"2016-01-01 00:00:00"
"Canada_en.wikipedia.org_mobile-web_all-agents",9236,"2016-01-01 00:00:00"
"Captain_America:_Civil_War_en.wikipedia.org_all-access_all-agents",24067,"2016-01-01 00:00:00"
"Captain_America:_Civil_War_en.wikipedia.org_desktop_all-agents",9783,"2016-01-01 00:00:00"
"Captain_America:_Civil_War_en.wikipedia.org_mobile-web_all-agents",13659,"2016-01-01 00:00:00"
"Cara_Delevingne_en.wikipedia.org_all-access_all-agents",15371,"2016-01-01 00:00:00"
"Cara_Delevingne_en.wikipedia.org_desktop_all-agents",4658,"2016-01-01 00:00:00"
"Cara_Delevingne_en.wikipedia.org_mobile-web_all-agents",10518,"2016-01-01 00:00:00"
"Cards_Against_Humanity_en.wikipedia.org_mobile-web_all-agents",19925,"2016-01-01 00:00:00"
"Carlos_Slim_es.wikipedia.org_all-access_all-agents",1250,"2016-01-01 00:00:00"
"Casey_Affleck_en.wikipedia.org_all-access_all-agents",5572,"2016-01-01 00:00:00"
"Cat_en.wikipedia.org_all-access_all-agents",7299,"2016-01-01 00:00:00"
"Channing_Tatum_en.wikipedia.org_all-access_all-agents",16229,"2016-01-01 00:00:00"
"Channing_Tatum_en.wikipedia.org_desktop_all-agents",4285,"2016-01-01 00:00:00"
"Channing_Tatum_en.wikipedia.org_mobile-web_all-agents",11656,"2016-01-01 00:00:00"
"Charles_Manson_en.wikipedia.org_all-access_all-agents",12723,"2016-01-01 00:00:00"
"Charles_Manson_en.wikipedia.org_mobile-web_all-agents",9238,"2016-01-01 00:00:00"
"Charlie_Chaplin_en.wikipedia.org_all-access_all-agents",10542,"2016-01-01 00:00:00"
"Charlie_Puth_en.wikipedia.org_all-access_all-agents",20653,"2016-01-01 00:00:00"
"Charlize_Theron_en.wikipedia.org_all-access_all-agents",11044,"2016-01-01 00:00:00"
"Che_Guevara_en.wikipedia.org_all-access_all-agents",9077,"2016-01-01 00:00:00"
"Chelsea_F.C._en.wikipedia.org_all-access_all-agents",6192,"2016-01-01 00:00:00"
"Chernobyl_disaster_en.wikipedia.org_all-access_all-agents",16085,"2016-01-01 00:00:00"
"Chernobyl_disaster_en.wikipedia.org_mobile-web_all-agents",10974,"2016-01-01 00:00:00"
"Chicago_en.wikipedia.org_all-access_all-agents",8409,"2016-01-01 00:00:00"
"Chile_es.wikipedia.org_all-access_all-agents",2424,"2016-01-01 00:00:00"
"China_Netcom_en.wikipedia.org_desktop_all-agents",7477,"2016-01-01 00:00:00"
"China_en.wikipedia.org_all-access_all-agents",16974,"2016-01-01 00:00:00"
"China_en.wikipedia.org_desktop_all-agents",9797,"2016-01-01 00:00:00"
"ChloÃ«_Grace_Moretz_en.wikipedia.org_all-access_all-agents",10690,"2016-01-01 00:00:00"
"Chris_Brown_en.wikipedia.org_all-access_all-agents",11327,"2016-01-01 00:00:00"
"Chris_Brown_en.wikipedia.org_mobile-web_all-agents",8209,"2016-01-01 00:00:00"
"Chris_Christie_en.wikipedia.org_desktop_all-agents",816,"2016-01-01 00:00:00"
"Chris_Evans_(actor)_en.wikipedia.org_all-access_all-agents",11991,"2016-01-01 00:00:00"
"Chris_Farley_en.wikipedia.org_mobile-web_all-agents",3305,"2016-01-01 00:00:00"
"Chris_Hemsworth_en.wikipedia.org_all-access_all-agents",14712,"2016-01-01 00:00:00"
"Chris_Kyle_en.wikipedia.org_all-access_all-agents",29521,"2016-01-01 00:00:00"
"Chris_Kyle_en.wikipedia.org_mobile-web_all-agents",22996,"2016-01-01 00:00:00"
"Chris_Pratt_en.wikipedia.org_all-access_all-agents",15106,"2016-01-01 00:00:00"
"Chris_Pratt_en.wikipedia.org_desktop_all-agents",4478,"2016-01-01 00:00:00"
"Chris_Pratt_en.wikipedia.org_mobile-web_all-agents",10280,"2016-01-01 00:00:00"
"Chrisley_Knows_Best_en.wikipedia.org_all-access_all-agents",3462,"2016-01-01 00:00:00"
"Chrisley_Knows_Best_en.wikipedia.org_mobile-web_all-agents",2930,"2016-01-01 00:00:00"
"Chrissy_Teigen_en.wikipedia.org_all-access_all-agents",10213,"2016-01-01 00:00:00"
"Chrissy_Teigen_en.wikipedia.org_desktop_all-agents",2013,"2016-01-01 00:00:00"
"Chrissy_Teigen_en.wikipedia.org_mobile-web_all-agents",8044,"2016-01-01 00:00:00"
"Christian_Bale_en.wikipedia.org_all-access_all-agents",15582,"2016-01-01 00:00:00"
"Christopher_Columbus_en.wikipedia.org_all-access_all-agents",6032,"2016-01-01 00:00:00"
"Ciara_en.wikipedia.org_all-access_all-agents",5797,"2016-01-01 00:00:00"
"Clarence_Thomas_en.wikipedia.org_all-access_all-agents",1288,"2016-01-01 00:00:00"
"Clint_Eastwood_en.wikipedia.org_all-access_all-agents",14694,"2016-01-01 00:00:00"
"Colin_Farrell_en.wikipedia.org_all-access_all-agents",6333,"2016-01-01 00:00:00"
"Computer_en.wikipedia.org_all-access_all-agents",4587,"2016-01-01 00:00:00"
"Conor_McGregor_en.wikipedia.org_all-access_all-agents",20170,"2016-01-01 00:00:00"
"Conor_McGregor_en.wikipedia.org_desktop_all-agents",7682,"2016-01-01 00:00:00"
"Conor_McGregor_en.wikipedia.org_mobile-web_all-agents",12180,"2016-01-01 00:00:00"
"ContaminaciÃ³n_es.wikipedia.org_all-access_all-agents",315,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_2011_es.wikipedia.org_all-access_all-agents",160,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_2015_es.wikipedia.org_all-access_all-agents",531,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_2015_es.wikipedia.org_desktop_all-agents",262,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_2015_es.wikipedia.org_mobile-web_all-agents",265,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_2015_fr.wikipedia.org_all-access_all-agents",201,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_Centenario_en.wikipedia.org_all-access_all-agents",8029,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_Centenario_es.wikipedia.org_all-access_all-agents",3918,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_Centenario_es.wikipedia.org_desktop_all-agents",1347,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_Centenario_es.wikipedia.org_mobile-web_all-agents",2535,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_en.wikipedia.org_all-access_all-agents",1270,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_en.wikipedia.org_desktop_all-agents",557,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_en.wikipedia.org_mobile-web_all-agents",691,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_es.wikipedia.org_all-access_all-agents",1040,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_es.wikipedia.org_desktop_all-agents",414,"2016-01-01 00:00:00"
"Copa_AmÃ©rica_es.wikipedia.org_mobile-web_all-agents",610,"2016-01-01 00:00:00"
"Copa_Mundial_de_FÃºtbol_de_2014_es.wikipedia.org_all-access_all-agents",1030,"2016-01-01 00:00:00"
"Copa_Mundial_de_FÃºtbol_es.wikipedia.org_all-access_all-agents",1482,"2016-01-01 00:00:00"
"Courteney_Cox_en.wikipedia.org_all-access_all-agents",9352,"2016-01-01 00:00:00"
